"Position","Player","Team","Vs","M/U","Open $","Current $","% of Cap","SeasonChange","Last Week","WeekChange"
"WR","Steven Sims","WAS","@NYG","19","5100","4600","7.67","-500","4600","0"
"RB","Boston Scott","PHI","BAL","10","4900","4600","7.67","-300","4700","-100"
"TE","Ricky Seals-Jones","KC","@BUF","27","4200","--","6.67","-200","4000","--"
"WR","Sterling Shepard","NYG","WAS","13","5700","5000","8.33","-700","5300","-300"
"WR","Darrius Shepherd","GB","@TB","22","4500","4500","7.50","0","--","--"
"WR","Trent Sherfield","ARI","@DAL","28","4700","--","7.50","-200","4500","--"
"RB","Anthony Sherman","KC","@BUF","14","4500","--","7.50","0","4500","--"
"RB","Devin Singletary","BUF","KC","19","6300","--","10.50","0","6300","--"
"QB","Jarrett Stidham","NE","DEN","25","6000","6900","11.50","900","6300","600"
"QB","Alex Smith","WAS","@NYG","9","6000","6500","10.83","500","6000","500"
"WR","Darius Slayton","NYG","WAS","13","5300","6000","10.00","700","5800","200"
"QB","Geno Smith","SEA","BYE","0","6000","--","10.00","0","6000","--"
"QB","Ryan Tannehill","TEN","HOU","8","7000","7300","12.17","300","7000","300"
"WR","Auden Tate","CIN","@IND","3","4500","4700","7.83","200","4500","200"
"RB","Jonathan Taylor","IND","CIN","18","5300","7300","12.17","2000","7100","200"
"RB","J.J. Taylor","NE","DEN","5","4500","4700","7.83","200","4600","100"
"RB","Ito Smith","ATL","@MIN","21","4900","4600","7.67","-300","4600","0"
"TE","Irv Smith Jr.","MIN","ATL","32","4800","4300","7.17","-500","4300","0"
"TE","Jonnu Smith","TEN","HOU","16","4900","5800","9.67","900","5800","0"
"WR","Jeff Smith","NYJ","@MIA","6","4500","4900","8.17","400","4900","0"
"RB","Keith Smith","ATL","@MIN","21","4500","4500","7.50","0","4500","0"
"TE","Kaden Smith","NYG","WAS","25","4300","4100","6.83","-200","4100","0"
"WR","Vyncint Smith","NYJ","@MIA","6","4500","4500","7.50","0","4500","0"
"TE","Durham Smythe","MIA","NYJ","12","4100","4100","6.83","0","4100","0"
"WR","Diontae Spencer","DEN","@NE","20","4500","4500","7.50","0","4500","0"
"TE","Jeremy Sprinkle","WAS","@NYG","2","4300","4000","6.67","-300","4000","0"
"TE","Luke Stocker","ATL","@MIN","3","4000","4000","6.67","0","4000","0"
"QB","Nate Sudfeld","PHI","BAL","23","6000","6000","10.00","0","6000","0"
"WR","Courtland Sutton","DEN","@NE","20","6900","4500","7.50","-2400","4500","0"
"TE","Geoff Swaim","TEN","HOU","16","4000","4000","6.67","0","4000","0"
"RB","Benny Snell Jr.","PIT","CLE","13","4600","4600","7.67","0","4700","-100"
"WR","JuJu Smith-Schuster","PIT","CLE","30","7100","7100","11.83","0","7300","-200"
"TE","Lee Smith","BUF","KC","15","4200","--","6.83","-100","4100","--"
"WR","Tre'Quan Smith","NO","BYE","0","4900","--","9.33","700","5600","--"
"WR","Willie Snead","BAL","@PHI","23","5100","4800","8.00","-300","5000","-200"
"QB","Matthew Stafford","DET","@JAX","26","7300","7300","12.17","0","--","--"
"WR","Equanimeous St. Brown","GB","@TB","22","4500","4500","7.50","0","--","--"
"TE","Jace Sternberger","GB","@TB","14","4100","4300","7.17","200","--","--"
"QB","Easton Stick","LAC","BYE","0","6000","--","10.00","0","6000","--"
"WR","Kenny Stills","HOU","@TEN","21","4900","4800","8.00","-100","4900","-100"
