Pos,Player,Tm,Opp,FD Sal $,Projected Own%,Cash Odds,GPP Odds,Implied Own%,FD LEV
TE,Jacob Hollister,SEA,@ATL,4200,0.50%,11%,0%,0%,0.41
TE,Robert Tonyan,GB,@MIN,4200,0.50%,8%,0%,0%,0.2
TE,Drew Sample,CIN,LAC,4200,0.50%,7%,0%,0%,0.17
TE,Lee Smith,BUF,NYJ,4200,3.00%,5%,0%,0%,0.01
TE,Jace Sternberger,GB,@MIN,4100,0.50%,30%,3%,2%,4.92
TE,Devin Asiasi,NE,MIA,4100,0.50%,22%,2%,1%,2.48
DEF,New Orleans Saints,NO,TB,4100,3.00%,41%,1%,4%,1.3
TE,Foster Moreau,LV,@CAR,4100,0.50%,14%,1%,0%,0.8
TE,Virgil Green,LAC,@CIN,4100,0.50%,8%,0%,0%,0.2
TE,Durham Smythe,MIA,@NE,4100,0.50%,7%,0%,0%,0.13
TE,Chris Manhertz,CAR,LV,4100,0.50%,6%,0%,0%,0.1
DEF,Seattle Seahawks,SEA,@ATL,4000,3.00%,40%,1%,3%,0.83
TE,Adam Shaheen,MIA,@NE,4000,0.50%,13%,0%,0%,0.56
TE,Dalton Keene,NE,MIA,4000,0.50%,13%,0%,0%,0.56
TE,Mo Alie-Cox,IND,@JAX,4000,0.50%,12%,0%,0%,0.49
TE,James O'Shaughnessy,JAX,IND,4000,0.50%,12%,0%,0%,0.43
TE,Adam Trautman,NO,TB,4000,0.50%,10%,0%,0%,0.29
TE,Josiah Deguara,GB,@MIN,4000,0.50%,9%,0%,0%,0.25
TE,Cethan Carter,CIN,LAC,4000,0.50%,7%,0%,0%,0.13
TE,Harrison Bryant,CLE,@BAL,4000,0.50%,7%,0%,0%,0.11
TE,Ryan Izzo,NE,MIA,4000,0.50%,7%,0%,0%,0.11
TE,Stephen Anderson,LAC,@CIN,4000,0.50%,7%,0%,0%,0.11
TE,Logan Thomas,WAS,PHI,4000,3.00%,10%,0%,0%,0.06
TE,Marcus Baugh,WAS,PHI,4000,3.00%,7%,0%,0%,0.02
DEF,Green Bay Packers,GB,@MIN,3900,0.50%,29%,0%,0%,0.43
DEF,New York Jets,NYJ,@BUF,3900,3.00%,29%,0%,0%,0.07
DEF,Tampa Bay Buccaneers,TB,@NO,3800,0.50%,27%,0%,0%,0.14
DEF,Indianapolis Colts,IND,@JAX,3700,3.00%,48%,1%,5%,1.52
DEF,Detroit Lions,DET,CHI,3700,3.00%,46%,1%,4%,1.19
DEF,Atlanta Falcons,ATL,SEA,3600,0.50%,41%,0%,1%,1.77
DEF,Cincinnati Bengals,CIN,LAC,3600,3.00%,37%,0%,0%,0.13
DEF,Jacksonville Jaguars,JAX,IND,3500,0.50%,37%,0%,0%,0.43
DEF,Miami Dolphins,MIA,@NE,3500,3.00%,38%,0%,0%,0.1
DEF,Carolina Panthers,CAR,LV,3400,0.50%,44%,0%,1%,1.4
DEF,Washington Football Team,WAS,PHI,3400,3.00%,37%,0%,0%,0.04
DEF,Arizona Cardinals,ARI,@SF,3300,0.50%,41%,0%,0%,0.46
DEF,Las Vegas Raiders,LV,@CAR,3200,3.00%,51%,0%,2%,0.66
DEF,Cleveland Browns,CLE,@BAL,3000,0.50%,38%,0%,0%,0.03
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
