"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"TE","Ian Thomas","CAR","LAR","4600","0.5%","13%","1%","0%","0.81"
"WR","Andy Isabella","ARI","DET","4600","0.5%","12%","0%","0%","0.47"
"TE","Dawson Knox","BUF","@NYJ","4600","0.5%","7%","0%","0%","0.18"
"RB","T.J. Yeldon","BUF","@NYJ","4600","0.5%","9%","0%","0%","0.11"
"RB","Darren Sproles","PHI","WAS","4600","0.5%","7%","0%","0%","0.06"
"WR","Chris Hogan","CAR","LAR","4600","0.5%","5%","0%","0%","0.05"
"RB","Jordan Wilkins","IND","@LAC","4600","0.5%","3%","0%","0%","0.01"
"RB","Trenton Cannon","NYJ","BUF","4600","0.5%","2%","0%","0%","0.00"
"WR","Rashard Higgins","CLE","TEN","4500","0.5%","30%","3%","3%","6.44"
"WR","Terry McLaurin","WAS","@PHI","4500","0.5%","29%","2%","3%","5.58"
"WR","Jaron Brown","SEA","CIN","4500","0.5%","26%","2%","2%","4.22"
"TE","Geoff Swaim","JAX","KC","4500","0.5%","23%","2%","2%","3.10"
"WR","Miles Boykin","BAL","@MIA","4500","0.5%","22%","1%","1%","2.80"
"WR","Justin Watson","TB","SF","4500","0.5%","19%","1%","1%","1.81"
"WR","Chris Conley","JAX","KC","4500","0.5%","19%","1%","1%","1.67"
"WR","Bennie Fowler","NYG","@DAL","4500","0.5%","15%","0%","0%","0.83"
"RB","Dare Ogunbowale","TB","SF","4500","0.5%","18%","0%","0%","0.82"
"RB","Ryquell Armstead","JAX","KC","4500","0.5%","17%","0%","0%","0.79"
"DEF","Seattle Seahawks","SEA","CIN","4500","12.5%","43%","3%","6%","0.52"
"WR","Isaiah McKenzie","BUF","@NYJ","4500","0.5%","11%","0%","0%","0.41"
"WR","Kendrick Bourne","SF","@TB","4500","0.5%","10%","0%","0%","0.32"
"WR","Tavon Austin","DAL","NYG","4500","0.5%","9%","0%","0%","0.20"
"WR","Alex Erickson","CIN","@SEA","4500","0.5%","9%","0%","0%","0.18"
"WR","Jalen Hurd","SF","@TB","4500","0.5%","9%","0%","0%","0.18"
"WR","Allen Hurns","MIA","BAL","4500","0.5%","7%","0%","0%","0.11"
"WR","Tajae Sharpe","TEN","@CLE","4500","0.5%","7%","0%","0%","0.11"
"WR","Darius Slayton","NYG","@DAL","4500","0.5%","6%","0%","0%","0.07"
"RB","Bilal Powell","NYJ","BUF","4500","0.5%","8%","0%","0%","0.07"
"RB","Reggie Bonnafon","CAR","LAR","4500","0.5%","6%","0%","0%","0.04"
"RB","Darwin Thompson","KC","@JAX","4500","0.5%","6%","0%","0%","0.03"
"WR","Justin Hardy","ATL","@MIN","4500","0.5%","4%","0%","0%","0.03"
"WR","Taywan Taylor","CLE","TEN","4500","0.5%","4%","0%","0%","0.03"
"WR","Josh Bellamy","NYJ","BUF","4500","0.5%","4%","0%","0%","0.03"
"WR","Damion Ratley","CLE","TEN","4500","0.5%","4%","0%","0%","0.02"
"RB","Corey Clement","PHI","WAS","4500","0.5%","5%","0%","0%","0.02"
"WR","Zach Pascal","IND","@LAC","4500","0.5%","4%","0%","0%","0.02"
"RB","Tyler Ervin","JAX","KC","4500","0.5%","5%","0%","0%","0.02"
"RB","David Fluellen","TEN","@CLE","4500","0.5%","5%","0%","0%","0.01"
"RB","Mike Boone","MIN","ATL","4500","0.5%","4%","0%","0%","0.01"
"RB","Raheem Mostert","SF","@TB","4500","0.5%","4%","0%","0%","0.01"
"RB","Jonathan Williams","IND","@LAC","4500","0.5%","4%","0%","0%","0.01"
"RB","C.J. Prosise","SEA","CIN","4500","0.5%","4%","0%","0%","0.01"
"RB","Brian Hill","ATL","@MIN","4500","0.5%","4%","0%","0%","0.01"
"WR","Jakeem Grant","MIA","BAL","4500","0.5%","3%","0%","0%","0.01"
"WR","Russell Gage","ATL","@MIN","4500","0.5%","2%","0%","0%","0.01"
"WR","Auden Tate","CIN","@SEA","4500","0.5%","2%","0%","0%","0.01"
"WR","Gary Jennings","SEA","CIN","4500","0.5%","2%","0%","0%","0.00"
"WR","Trent Sherfield","ARI","DET","4500","0.5%","2%","0%","0%","0.00"
"WR","Russell Shepard","NYG","@DAL","4500","0.5%","2%","0%","0%","0.00"
"WR","Darius Jennings","TEN","@CLE","4500","0.5%","2%","0%","0%","0.00"
"WR","Deon Cain","IND","@LAC","4500","0.5%","2%","0%","0%","0.00"
"WR","Mack Hollins","PHI","WAS","4500","0.5%","2%","0%","0%","0.00"
"RB","Troymaine Pope","LAC","IND","4500","0.5%","3%","0%","0%","0.00"
"RB","Chandler Cox","MIA","BAL","4500","0.5%","3%","0%","0%","0.00"
"WR","Geremy Davis","LAC","IND","4500","0.5%","2%","0%","0%","0.00"
"RB","Ty Johnson","DET","@ARI","4500","0.5%","2%","0%","0%","0.00"
"RB","T.J. Logan","TB","SF","4500","0.5%","2%","0%","0%","0.00"
"RB","Patrick DiMarco","BUF","@NYJ","4500","0.5%","2%","0%","0%","0.00"
"RB","Trayveon Williams","CIN","@SEA","4500","0.5%","2%","0%","0%","0.00"
"RB","D'Ernest Johnson","CLE","TEN","4500","0.5%","2%","0%","0%","0.00"
