"pricing_position","pricing_player","pricing_team","pricing_open","pricing_current","pricing_season_change","pricing_week_change"
"RB","Bo Scarbrough","SEA",4700,4500,-200,0
"QB","Matt Schaub","ATL",6000,6000,0,NA
"TE","Mason Schreck","CIN",4000,4000,0,0
"TE","Dalton Schultz","DAL",4000,5000,1000,NA
"RB","Boston Scott","PHI",4900,5200,300,-700
"WR","Jaleel Scott","NYJ",4600,4500,-100,NA
"TE","Ricky SealsJones","KAN",4200,4000,-200,NA
"TE","Adam Shaheen","MIA",4000,4300,300,100
"WR","Tajae Sharpe","MIN",4800,4500,-300,0
"WR","Laviska Shenault","JAX",4600,5000,400,-200
"WR","Darrius Shepherd","GNB",4500,4600,100,0
"WR","Trent Sherfield","ARI",4700,4500,-200,0
"RB","Anthony Sherman","KAN",4500,4500,0,NA
"WR","Cam Sims","WAS",4500,5000,500,100
"WR","Steven Sims","WAS",5100,4600,-500,0
"QB","Alex Smith","WAS",6000,6600,600,100
"QB","Geno Smith","SEA",6000,6000,0,0
"RB","Ito Smith","ATL",4900,4800,-100,NA
"TE","Irv Smith Jr","MIN",4800,5100,300,0
"WR","JuJu SmithSchuster","PIT",7100,6500,-600,100
"TE","Jonnu Smith","TEN",4900,5800,900,-200
"WR","Jeff Smith","NYJ",4500,4700,200,NA
"RB","Keith Smith","ATL",4500,4500,0,NA
"WR","TreQuan Smith","NOR",4900,5300,400,300
"WR","Vyncint Smith","NYJ",4500,4500,0,NA
"TE","Durham Smythe","MIA",4100,4300,200,0
"WR","Willie Snead","BAL",5100,5200,100,100
"RB","Benny Snell Jr","PIT",4600,4900,300,0
"WR","Diontae Spencer","DEN",4500,4500,0,0
"TE","Jeremy Sprinkle","WAS",4300,4100,-200,100
"QB","Matthew Stafford","DET",7300,7500,200,200
"WR","Equanimeous St Brown","GNB",4500,4500,0,0
"TE","Jace Sternberger","GNB",4100,4400,300,0
"QB","Easton Stick","LAC",6000,6000,0,0
"QB","Jarrett Stidham","NWE",6000,6300,300,0
"WR","Kenny Stills","HOU",4900,4700,-200,100
"TE","Luke Stocker","ATL",4000,4000,0,NA
"QB","Chris Streveler","ARI",6000,6000,0,0
