"Position","Player","Team","Vs","M/U","Open $","Current $","% of Cap","SeasonChange","Last Week","WeekChange"
"DEF","Carolina Panthers","CAR","@ATL","8","3400","3500","5.83","100","3600","-100"
"TE","Mark Andrews","BAL","CIN","9","7400","7500","12.50","100","7400","100"
"RB","Kenjon Barner","TB","@CHI","20","4500","4600","7.67","100","4500","100"
"WR","Noah Brown","DAL","NYG","19","4500","4600","7.67","100","4500","100"
"WR","Deontay Burnett","PHI","@PIT","29","4500","4600","7.67","100","4500","100"
"WR","Randall Cobb","HOU","JAX","15","5000","5100","8.50","100","5400","-300"
"RB","Darrynton Evans","TEN","BUF","14","4600","4700","7.83","100","4500","200"
"TE","Anthony Firkser","TEN","BUF","27","4200","4300","7.17","100","4100","200"
"TE","Eric Ebron","PIT","PHI","30","5000","5100","8.50","100","5100","0"
"TE","Ross Dwelley","SF","MIA","11","4200","4300","7.17","100","4700","-400"
"QB","Jared Goff","LAR","@WAS","19","7400","7500","12.50","100","7500","0"
"WR","Jakeem Grant","MIA","@SF","16","4500","4600","7.67","100","4700","-100"
"WR","Tyreek Hill","KC","LV","10","8100","8200","13.67","100","8000","200"
"QB","Dwayne Haskins","WAS","LAR","4","6500","6600","11.00","100","6500","100"
"WR","Marvin Hall","DET","BYE","0","4700","--","8.00","100","4800","--"
"TE","Chris Herndon","NYJ","ARI","20","4700","4800","8.00","100","4800","0"
"WR","Mecole Hardman","KC","LV","10","5000","5100","8.50","100","5200","-100"
"WR","N'Keal Harry","NE","BYE","0","5100","5200","8.67","100","5300","-100"
"TE","T.J. Hockenson","DET","BYE","0","5300","--","9.00","100","5400","--"
"TE","Ryan Izzo","NE","BYE","0","4000","4100","6.83","100","4100","0"
"RB","Carlos Hyde","SEA","MIN","21","5000","5100","8.50","100","5700","-600"
"RB","Ronald Jones","TB","@CHI","20","5700","5800","9.67","100","5600","200"
"RB","David Johnson","HOU","JAX","30","6300","6400","10.67","100","6700","-300"
